id,name
1,Perpetual FX Creative
2,Wild Rooster
3,Campião Games
4,Odd Critter Games
5,Unusual Games
6,7Road
7,MAKSIM VOLKAU
8,magnussoft
9,CFK Co.
10,Ltd.
11,ONE MORE LEVEL
12,Pixelated Milk
13,gaming company
14,Wise Wizard Games
15,LLC
16,Beardlings LLC
17,Educational Games
18,Parange Project
19,Team17 Digital Ltd
20,Ziggurat
21,Lonely Troops
22,Denpasoft
23,Necavare
24,Bretwalda Games
25,Volens Nolens Games
26,IPACS
27,SGデベロッパー
28,PseudoGames
29,Zero One
30,Mens Sana Interactive
31,Delta Arcade
32,GameUncle
33,NedoStudio
34,lonch.me
35,TensionSplice
36,Warped Tales
37,Instinct Software Ltd.
38,THE MARCH OF KWF
39,Spikkeee
40,Century Game
41,Lame Jam
42,eigoMANGA
43,Black Beach Studio
44,Garage Games
45,THQ Nordic
46,Chroma Field Games
47,Devolver Digital
48,GoldFire Studios
49,玫瑰工作室
50,Ubisoft
51,Boogygames Studios
52,Arc System Works
53,Big Fish Games
54,Stegalosaurus Game Development
55,Uintani
56,Sedoc LLC
57,GrabTheGames
58,Team Sämst
59,Hello Friend LLC
60,RunServer
61,Xbox Game Studios
62,VikingWarrior
63,折凳工作室
64,JanduSoft
65,Julian Henley
66,Funbox Media Ltd
67,Peaksel
68,aNCHOR Inc.
69,SparkGames
70,Rockstar Games
71,PICTOLOGI
72,Berry Berry Niceu
73,Avalon Digital
74,Ballistic Machine
75,Portable Moose
76,Soiree Games
77,Woodsy Studio
78,Miniced
79,Madman Games
80,Retrover Games
81,FireArmGames
82,Tero Lunkka
83,Shiravune
84,Doublethink Games
85,Cateia Games
86,Flying Panjandrum / ふらいんぐパンジャンドラム
87,Aligned Games
88,HH-Games
89,Nucleax
90,Sekai Project
91,Tudor Sandru
92,Dear Villagers
93,Slippy Floor
94,Teleporter Realities Inc.
95,Reiza Studios
96,Marching Simulator
97,PlayWay S.A
98,Klei Entertainment
99,LGT SIA
100,Pinblend Studios
101,Gemdrops
102,Inc.
103,Clouded Leopard Entertainment Inc.
104,Goadstool
105,NukGames
106,Davioware and Quazi
107,Quantized Bit
108,Brainwashing games
109,Pablo Picazo
110,Heavy Iron Studios
111,SOFTON ENTERTAINMENT
112,Pretty Bat Games
113,NewProjekt
114,Back To Basics Gaming
115,SEGA
116,KISS ltd
117,Pickup One
118,Reforged Group
119,KOEI TECMO GAMES CO.
120,LTD.
121,Rebellion
122,Purple Cable
123,WanadevStudio
124,Mozg Labs
125,Curve Games
126,豆干叠叠木
127,MOGA Creative
128,Joe Chisholm
129,PROATIV GAMES
130,Straight Back Games
131,Canuck Play Inc
132,Yima VLG.
133,GoesSoft
134,Triority Interactive Novels
135,Unfinished Pixel
136,Royal Flush Studioz
137,Gamera Interactive
138,Codera
139,Activision
140,ElZzap Software
141,PomPom Games
142,Plug In Digital
143,kazakovstudios
144,8Floor
145,Interplay
146,My Oldschool Console
147,Big Village Games Ltd
148,VRANI inc.
149,APOLLOSOFT
150,Sayan
151,祥
152,Andorf Games
153,Toolkitz Games
154,Animar Games
155,Bisquit Play
156,Annapurna Interactive
157,R.E.M. Studios
158,meokigame
159,Pixel Racers
160,Painful Smile
161,BigGame Publishing
162,Bloodwolf Studio
163,Delve Interactive
164,有杕之杜
165,LUK KUS SOFT
166,Lionsart
167,Furyface
168,Last Day Of Work
169,0
170,HugePixel
171,Unikware
172,GuGong
173,Kevin Nguyen
174,Mifos Games
175,Dribble Games
176,Eponymouse
177,Team Jolly Roger
178,Advanced Interactive Gaming
179,Headup
180,Vivid Helix
181,Three Prong Productions
182,Buka Entertainment
183,Joe Chatfield
184,S. Khasanov
185,Lange Studios LLC
186,TurnVex
187,Metthink
188,Metthink Productions
189,Indie Light
190,Tomas Daugela
191,XSEED Games
192,Marvelous USA
193,INFINITE BRIDGE
194,Suomi-Peli
195,Retrific
196,Igor Neiman
197,Strong Cube
198,Leturs Labs
199,Dodo Digital
200,Phoenixx Inc.
201,NikiGames
202,XDEVS LTD
203,Space Driver
204,Cheesemaster Games
205,Split Light Studio
206,Adaptive Game
207,LetMeowt Games LLC
208,RewindApp
209,Daedalic Entertainment
210,Windybeard
211,LuCapy Studio
212,Milestone S.r.l.
213,Sapphire Dragon Productions
214,Albash Bokhari
215,TERNOX
216,zelun
217,Ampersand Game Studios
218,rondomedia GmbH
219,Virtual Video
220,Nicholas Evelson
221,Rabotiagi games
222,True Seria
223,DCF STUDIOS
224,Self
225,Games Box
226,SIG Publishing
227,Merge Games
228,kunst-stoff GmbH
229,PGN Games
230,Mass Creation
231,Anvil-Soft
232,Kinmoku
233,Dozen Minds OU
234,CodeBreaker Studios
235,Piece Of Voxel
236,Red Dwarf Games
237,Owlchemy Labs
238,JOZGames
239,SynapticSwitch
240,LeadTech
241,liuguowang
242,DIG Publishing
243,北京网元圣唐娱乐科技有限公司
244,Blake Fix
245,neonboxgames
246,Riba Plus
247,Luiz Otávio da Silva
248,Fulqrum Publishing
249,Wee Free Studio
250,Sinnera
251,Techland
252,Christian Slater
253,Suits & Sandals
254,Kitsune Games
255,MDickie
256,水狗工作室
257,Atelier ATIC
258,Days of Wonder
259,Asmodee Digital
260,2Frogs Software
261,Fowl Play Studios
262,SolidFace Technology Inc.
263,SHIBO GAMES
264,GameHouse
265,PanGuoJun
266,Immunity Studios
267,Erik Brunström
268,Luden.io
269,Piloto Studio
270,Fun Quarter
271,PLAYISM
272,Reality Reflection
273,Immortal Game Studio
274,From Nothing Game Studios
275,Choice of Games
276,Claudius Keigfron
277,BT Games
278,Unusual Meaning
279,OtakuMaker.com
280,Unseen Interactive
281,Michael Gentry
282,Scikōr Games
283,Hont
284,Luminescence Interactive
285,Google Inc.
286,Phoenix_co
287,Komodo
288,Atomic Elbow
289,Pyxton Studios
290,Qumaron
291,800 North
292,The Two Ravens
293,torumees.games
294,Hollow World Games llc
295,Ian MacLarty
296,Rockus Games
297,William at Oxford
298,WJLEGAME
299,Marikat Software Corp
300,Deborah Vellozo
301,Hede
302,星飞游戏
303,Raw Orange Studios Limited
304,Dragom
305,Synthetic Games
306,TinyHat Studios
307,Spiderweb Software
308,Ghostlight LTD
309,Brandon Brizzi
310,REDspace
311,Baby Duka
312,Master Technologies
313,Pixelante Game Studios
314,Nacon
315,Vanaheim Team
316,full beast creative
317,Nilz
318,Falkrus
319,Lunacy Labs Ltd.
320,App Business Ventures LLC
321,Prairie Game
322,EnsenaSoft
323,Samu
324,Duplicator Studio
325,Team Teal
326,Tate Multimedia
327,FlowersFX
328,Citor3
329,Aiaz Marx
330,Wide Right Interactive
331,Tradosoft
332,Uladzislau Basin
333,EnroAndOz
334,On The Level Game Studios
335,FakeBamboo
336,Toxic Games
337,Marvelous Inc.
338,Future Proof Games
339,Retroism
340,Enlight Software Limited
341,The Wilburnness
342,Moonfish Studio
343,Malika K. LLC
344,Zombie's Delight Studio
345,AdroVGames
346,SunshineOvercast
347,Last Day of Work
348,Company Not Found
349,Cyber Keks
350,Fifth Dimension Company
351,Console Classics
352,Holon Studios Inc.
353,Luke Godfrey
354,Heatwave Studios
355,Arvus Games
356,Small Game
357,Studio Sprouts
358,Sokpop Collective
359,GuoQiangQiang
360,Cute Hannah's Games
361,Avenal Investments Ltd
362,PlayMeow Games
363,Renegade Sector Games
364,Artless Games
365,NOINDEX GAMES
366,Warfare Studios
367,Better Than Life
368,Big Ant Studios
369,Zmakesgames
370,Flying Mollusk
371,ImperiumGame
372,Inca Games
373,Tiny Lions Inc.
374,Digital Dreams Entertainment LLC
375,Cartboard Games
376,Shaikonina Games
377,悦艺工作室
378,Iceberg Interactive
379,Pixel Harmony Studio
380,Deadcloud Productions
381,Sweet Games
382,Polovey Alexander
383,Ludosity
384,Dynamic Dungeons
385,Gosatsu Visual Novels
386,3P Studios
387,Pinel Games
388,Caio Flavio
389,Strategy First
390,D3PUBLISHER
391,Rodney Luck
392,Outright Games Ltd.
393,Zero Thorn Studios
394,Michael Derek
395,Shifty Chair Games
396,XO GAMES PUBLISHING
397,Pulsarium
398,ChangeMe
399,Moonworks
400,Scarecrow Arts
401,Kraftmaru
402,Landfall
403,Golden Wave Games
404,HandyGames
405,Black Forest Games
406,Studio Half-
407,Snkl Studio
408,PixelGreeds
409,PID Games
410,Survios
411,Chilla's Art
412,FishSoft
413,Lory Studios
414,Ceylon Entertainment
415,Nojigames
416,Tectrid
417,tiny cactus studio
418,sun xiaodong
419,Nacks Soft
420,Bull Horn Games LLC
421,Stephen Wu
422,Redaster Studio
423,Dharker Studios Ltd
424,Blackbird Studios
425,Pixel by Pixel Studios Inc.
426,Unisclord Game Studio
427,Benjamin Pierce
428,LAN - GAMES LTD
429,HandMade Games
430,Giant Space Monster
431,YAW Studios
432,Atomic Fabrik
433,Cristian Manolachi
434,Gamesforgames
435,OrionSoft
436,Stardock
437,René Bühling
438,MBA International
439,Wooden Shoes Games
440,Kara Stone
441,Mushroom Angels Games
442,Analog Chechen Dudes
443,ProYuga Advanced Technologies Ltd
444,Unknown Magic
445,Piecewise Labs
446,Cosmi Valusoft
447,Omega Games
448,GamersUnit
449,White Noise Games
450,LIN YUANHUI
451,NanningsGames
452,Yogscast Games
453,Forever Entertainment S. A.
454,Snapshot Games Inc.
455,心流工作室（Heart Stream Studio）
456,Amaterasu Software
457,2Awesome Studio
458,North Breeze Entertainment Ltd
459,2K
460,Western Werks
461,Aslan Game Studio
462,XDesktop
463,tinyBuild
464,Tricol Co.
465,Mechabit
466,Cloudy Games LLC
467,Nexeon Studios
468,Gunnar Games
469,Eight Lives AB
470,Schell Games
471,Captain Games
472,DigiPen Institute of Technology
473,Relative Software LTD.
474,OE WORKS
475,Lowtek Games
476,Ottercopter Studios
477,Clockworks
478,Cats Who Play
479,Iron 27
480,Tonguç Bodur
481,Aventale Games
482,Virtual Romance LLC
483,PQube
484,Lioncode Games
485,Snowbit Interactive
486,Inside Studios
487,Fine China Games
488,Obsessive Science Games
489,Adam Cs
490,Sarynth
491,GreenerGames
492,Zojoi
493,Chicken Waffle
494,Beep Games
495,Astralax
496,Fox's Sake Studio
497,Iceprite
498,Dinosaur Polo Club
499,Nela System
500,Gamera Games
501,Dahlenburg
502,Bourbontank
503,Outer Brain Studios
504,KEMCO
505,BB Games
506,Illwinter Game Design
507,13-lab
508,azimuth team
509,Roope Tamminen
510,FEYXUAN
511,Stefan Kelnberger
512,Grenoble Interactive
513,Xiotex Studios Ltd
514,SOLIDMESH
515,Graverobber Foundation
516,J Games 966
517,Games - 909
518,Lost Criteria Studios
519,L Twigger
520,Piko Interactive LLC
521,Bleem!
522,Individual Software
523,ToradySoft
524,Audio Visual Enterprises S.A.
525,DNV
526,Undergrad Steve
527,Encore
528,DanielDavisGames
529,Doubleton Game Studio
530,Kairosoft Co.
531,Ltd
532,33 Production
533,DreamGate
534,Five Aces Publishing Ltd.
535,Drymir
536,Buffnerd Studios LLC
537,Hellscape Games
538,Thibaud Michaud
539,Félicien Brochu
540,Awix Studio
541,Laush Studio
542,Tentacle Head Games
543,Acuze Interactives
544,Hobo Studios
545,Azerbaijan Technology
546,Aztech
547,EcoGames
548,GrassGames
549,Anawiki Games
550,Dream Factory Co.
551,Tooru Akagi
552,2>
553,Dexter.CO
554,Disney
555,Maulidan Games
556,Fractalis
557,Theodore King
558,S.A. DigiWorks
559,Vludos
560,Tiltfactor
561,SimpleDes
562,Glitchr Studio
563,Space Slug Studios
564,Technomancy Studios
565,Zetsubou
566,Blowfish Studios
567,ANTOLD Studio
568,G-Bean Studios
569,Funny Twins
570,路过的骑士皇
571,Mischka Kamener
572,Cult Software
573,Paul Connor
574,C3 Games Inc
575,Tegridy Made Games
576,Color It Company
577,HexWar Games
578,Kiddy
579,Three Frog Studios
580,Funneractic
581,++Good Games
582,GameChanger Charity
583,Celtaria Productions
584,GC Games
585,TeatimeStrategy
586,Aerosoft GmbH
587,Zack Radick
588,Da Bongo Studio
589,Team SNEED
590,Ranger Game
591,Light Arc Studio Ltd
592,GamesCo
593,Microids
594,2&30 Software
595,Toxic Sasquatch LLC
596,Magic Shot Games
597,Polykroma Games
598,GoldenGod Games
599,Deevilj
600,Casual Arts
601,Tall Guy Productions
602,Plow Games LLC.
603,Hexadecimalstudios
604,Cien Studio
605,Mentorama GameLab
606,Mimicry
607,Valkeala software
608,Endless Loop Studios
609,Rubber Ducky Studios
610,Flip It
611,Huge Robot
612,Laura Shigihara
613,Badland Studio
614,Falkenbrew
615,Manic Hyena
616,Synthbiotic Studios
617,Adi Zhavo
618,KANAKOV PRODUCTION
619,Makivision Games
620,So Dank Studio
621,coolnames
622,QIPAWORLD
623,Noble Games Studio
624,Blob Lab
625,深圳市中顺和盈科技有限公司
626,BlueStacks
627,Value
628,ExAbsentia
629,xxgameroom
630,GuraShop
631,BadLand Publishing
632,Luphi Interactive
633,Anamik Majumdar
634,Codename Entertainment Inc.
635,TechnoBrain
636,TheShadowBlue Interactive
637,Avery Kirby
638,Vultive Entertainment
639,Paradox Interactive
640,Blueplant Entertainment
641,Dobest Studio
642,8floor
643,Cybertonikk Studio
644,Winter Wolves
645,Bird Man Games
646,Brendan Wiltshire
647,Pixel Wonder
648,Ome6a Games
649,SimDevs
650,LunarCore Games
651,EpiXR Games UG
652,Rafael Ben-Ari
653,Mantis Shrimp Studio
654,Robert Lanthier
655,Crania Games
656,Firehawk Studios
657,WitPOP
658,Dreamz Studio
659,Fürst
660,Cyfi Developers
661,Forest Games
662,Robert Alvarez
663,Randumb Studios
664,Night Stroll Studio
665,Medley Studios
666,James Korin
667,Persuasion Game Studio
668,Aleksander Krimsky
669,It's a Wonderful Life
670,netmin games
671,游学者狐狸
672,Borrowed Light Studios
673,Beaver Drummer
674,Tenkai Games
675,Incensecoil
676,DarxDev
677,Noxurtica
678,M♂NLY
679,Ben Marks Game Studios
680,Luminark
681,Game e Arte
682,Mediascape Co.
683,Andrew Rodenhiser
684,SiChris Productions
685,Nodbrim Interactive
686,Catalope Games
687,QCF Design
688,G-DEVS.com
689,Andrei Ionita
690,Lewis Spalato
691,Worker Bee Inc.
692,Mikołaj Spychał
693,Navila Software Japan
694,Wainstop James
695,RPG Maker MV
696,Tenshu General
697,Team Arborium
698,Kenisoft Game Studio
699,CJG Studio Ltd
700,Pom Pom Games
701,Electronic Arts
702,Noah Judson
703,S Games
704,Cognitive Forge
705,856 Studios
706,Dylan W
707,Lil Hentai Games
708,MelDEV
709,Prime Bit Games SA
710,Azimuth Studios
711,Archeostyle Studios
712,inXile Entertainment
713,RGByte Software
714,MumboJumbo
715,Nuts Pecker
716,Red Meat Games
717,Luke Sanderson
718,itb interactive LLC
719,Yogurt game
720,Play One Game Studio
721,Shaftesbury Sales Company
722,Dr. Cyril Splutterworth
723,SUCCESS Corp.
724,Farewell Games
725,Schirwindt
726,Agostta Games
727,Alliance4devs
728,cybercritics
729,Superfantastic Productions
730,MyDreamForever
731,BANDAI NAMCO Entertainment
732,Matsuta App.
733,Nuttery Entertainment
734,Ripple Studio
735,Hangover Cat Purrroduction
736,Arcen Games
737,xuechengyu
738,RedefineArts.Inc
739,noiarc
740,The Acceleration Agency
741,Take Toad
742,Cococucumber
743,Super.com
744,Stone Monkey Studios
745,Chris Turd Boomerang Armstrong
746,Ac Games
747,I-Illusions
748,Stack Interactive
749,Vectormatrix Limited
750,HappyGames
751,Winged Cloud
752,Blender Games
753,OTAKU Plan
754,Cipher Prime Studios
755,Flyhigh Works
756,Mirage Interactive
757,Nauris Amatnieks
758,HeyNau
759,Antonio Renna
760,ManaVoid Entertainment
761,Indie Asylum
762,Sum Co.
763,Groupees Interactive
764,D.P.L.D.S
765,Mr. Neighbor
766,Mystic Mill Games
767,RoseWater Studios
768,Connor Sherlock
769,Taylor McCue
770,Wizard Games Inc
771,Ningbing Games
772,Birchislet Gaming
773,Pixel Constructor
774,Naloki
775,Political Games LLC
776,Level 2 Design
777,Nekki Limited
778,SCS Software
779,miHoYo Limited
780,Erik Sheader-Smith
781,The Quantum Astrophysicists Guild
782,Stegersaurus Software Inc.
783,qiutaixu studio
784,ICA GAMES
785,Multiblender Games
786,Speedrobo Games
787,Massive Corporation Game Studios
788,RawEgg
789,Moustache Cabal
790,Luci Entertainment
791,Eric Peterson
792,Meekrab Games
793,616 GAMES
794,PolyDigital
795,Rotciv Ocnarb
796,Mutant Entertainment Studios
797,Pixel Games UK
798,Pohjoinen Pelinkehitys ry
799,TatriX
800,The LOL team
801,Assemble Entertainment
802,One Guy Productions
803,Purple Tree S R L
804,Banana Cat
805,TartaronDev
806,Visiontrick Media
807,SOEDESCO
808,MT Games
809,Went2Play LLC
810,Aisukaze Studio
811,Capcom
812,David Donarumo
813,crobatspr
814,Wonder Assembly
815,T.LEE
816,Zachary Hodges
817,Nichengun
818,wHDinc.
819,RedFox Games
820,Gamuzumi
821,Aegon Games
822,Matúš Kačeriak
823,Killerfish Games
824,MiaoXi Studio
825,MIRROR Soft
826,Soul of SysOp LLC
827,Rocket-Engine Co.
828,Anarchy Enterprises
829,Jace Of Shadows Gaming LLC
830,G CHOICE / STUDIOARTDINK
831,iWin
832,Lex de Kogel
833,Creative Consultants Agency
834,Rascal Devworks
835,Rafael García
836,Second March
837,DoubleC Games
838,Crian Soft
839,LionSpoon Dream
840,The Cable Center
841,Choice Provisions
842,Seaven Studio
843,tenekekafalarstudios
844,FurGoldGames
845,Crimson Lodge
846,Jupiter Lighthouse Games
847,Pankabre
848,BearFighterDev
849,Enoops
850,Reaper Games
851,Patryk Szuberla
852,Juan Jose Garrido Gomez
853,Konnichiwa Games
854,Serellan LLC
855,YGGDRASIL STUDIO
856,Bit2Good Ug
857,My Label Game Studio
858,SIGONO INC.
859,Ermao Animation
860,ProjectAscha
861,Hanako Games
862,Avamoe
863,DRAGAMI GAMES
864,zh大番薯
865,Hardytier
866,LTZinc
867,Ghost_RUS Games
868,Dirty Kaneez Gamez
869,Michael Shoots
870,raptor lab
871,Çağatay Demir
872,Ishaan Kale
873,Mihir Kale
874,Ivory Tower
875,Canalside Studios
876,Meridian4
877,Dylan White
878,stardust.ch
879,Pump Action Games
880,Black Cell OG
881,AnaWiki Games
882,TGBM Studio
883,MuHa Games
884,Smokehoe Studios
885,Dead Pixel Labs
886,Savestar Games
887,Dr. Kucho! Games
888,DHDevStudio
889,Parallel Circles
890,kiki
891,灰烬天国
892,Thermite Games
893,TubbyKiD UG (haftungsbeschränkt)
894,Wholetone Games
895,Transhuman Design
896,Inferno of Creation LLC
897,Pippin Games
898,chengcong
899,Bilge Kaan
900,Bitlock Studio
901,Zokya Media
902,Rad Codex
903,Mohammad Arkobi
904,Digital Leisure Inc.
905,ストロングツリー(HusHucHuライス)
906,Strong Tree (HusHucHu Rice)
907,Gray Wolf Interactive LLC
908,Catalina Zavaleta
909,Ephemeral Glades Software
910,Fullmetal Developer
911,Betroix
912,Raw Fury
913,SmallBigSquare
914,Ninba Games
915,EntwicklerX
916,Basem Alasmar
917,APPLEMINT
918,ThePenSword
919,Ben Thomas
920,StickyLock Studios
921,Eternity Studios
922,TomerSSH Games
923,Ideal Games
924,Holostar Command
925,Raging Usagi Corporation
926,Studio Six
927,505 Games
928,SMU Guildhall
929,Deserving Life
930,Red Vibe Studio
931,Take Five Games
932,Dikobraz Games
933,War Child Gaming
934,Little Orbit
935,绿叶工作室
936,Pugalo Ogorodnoe
937,DiP Online
938,7 Box Games
939,阿柒不爱日期
940,Ripknot Systems
941,KOEX studio
942,Focus Entertainment
943,Gabhel Studios
944,Mana Games
945,Bethesda Softworks
946,StOoPiD_U
947,EODE studio
948,iBlackpen
949,Granola Studios
950,Rocking Hamster
951,Valve
952,Behnam Saeedi
